comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
Beww iran keren dlu saya dukung amerika kukira iran bakal kalah sama amerika malah sebaliknya amerika yang kalah😂,Beww iran keren dlu saya dukung amerika kukira iran bakal kalah sama amerika malah sebaliknya amerika yang kalah,beww iran keren dlu saya dukung amerika kukira iran bakal kalah sama amerika malah sebaliknya amerika yang kalah,beww iran keren dulu saya dukung amerika kukira iran bakal kalah sama amerika malah sebaliknya amerika yang kalah,"['beww', 'iran', 'keren', 'dulu', 'saya', 'dukung', 'amerika', 'kukira', 'iran', 'bakal', 'kalah', 'sama', 'amerika', 'malah', 'sebaliknya', 'amerika', 'yang', 'kalah']",beww iran keren dukung amerika kukira iran kalah amerika amerika kalah
"Lebih percaya dengan ucapan iran .yg lebih jelas dan tidak tipu tipu  
Amiinn
Allahuakbar","Lebih percaya dengan ucapan iran yg lebih jelas dan tidak tipu tipu  
Amiinn
Allahuakbar","lebih percaya dengan ucapan iran yg lebih jelas dan tidak tipu tipu  
amiinn
allahuakbar",lebih percaya dengan ucapan iran yang lebih jelas dan tidak tipu tipu amin allahuakbar,"['lebih', 'percaya', 'dengan', 'ucapan', 'iran', 'yang', 'lebih', 'jelas', 'dan', 'tidak', 'tipu', 'tipu', 'amin', 'allahuakbar']",percaya ucapan iran tipu tipu amin allahuakbar
"Baru di kanoha beritanya ,,,spitboot iran mampu mengusir kapal induk as yg membawa jet2 tempur dn drone2 cangih serta kapal perang  perusak milik as,,lucu yah  😂😂😂",Baru di kanoha beritanya spitboot iran mampu mengusir kapal induk as yg membawa jet tempur dn drone cangih serta kapal perang  perusak milik aslucu yah  ,baru di kanoha beritanya spitboot iran mampu mengusir kapal induk as yg membawa jet tempur dn drone cangih serta kapal perang  perusak milik aslucu yah  ,baru di kanoha beritanya spitboot iran mampu mengusir kapal induk as yang membawa jet tempur dan drone cangih serta kapal perang perusak milik aslucu ya,"['baru', 'di', 'kanoha', 'beritanya', 'spitboot', 'iran', 'mampu', 'mengusir', 'kapal', 'induk', 'as', 'yang', 'membawa', 'jet', 'tempur', 'dan', 'drone', 'cangih', 'serta', 'kapal', 'perang', 'perusak', 'milik', 'aslucu', 'ya']",kanoha beritanya spitboot iran mengusir kapal induk amerika serikat membawa jet tempur drone cangih kapal perang perusak milik aslucu
"Itu mah propaganda Iran buat  warga IRGC.Iran mah sudah babak belur Beranii nya lawan warga sipil Iran yg SDH dibantai sebanyak 40  ribu .Rezim bengis Khamenei SDH membantai Islam Suni di Suriah 600 ribu blm lagi di Lebanon,yaman.saya  muslim yg pro rakyat bukan AS, Israel apa lagi rezim bengis Khamenei Pembataian Islam Suni Suriah belum pernah ditampilkan  dimedia indonesia termasuk kompas yg sy kagumi dari dulu tp skarang SDH  letoy !!!😮😮😮 Hidup rakyat Iran semoga Allah SWT melindungi kalian smua dixaman penuh dgn kemunafikan AS n !!!😮😮😮",Itu mah propaganda Iran buat  warga IRGCIran mah sudah babak belur Beranii nya lawan warga sipil Iran yg SDH dibantai sebanyak   ribu Rezim bengis Khamenei SDH membantai Islam Suni di Suriah  ribu blm lagi di Lebanonyamansaya  muslim yg pro rakyat bukan AS Israel apa lagi rezim bengis Khamenei Pembataian Islam Suni Suriah belum pernah ditampilkan  dimedia indonesia termasuk kompas yg sy kagumi dari dulu tp skarang SDH  letoy  Hidup rakyat Iran semoga Allah SWT melindungi kalian smua dixaman penuh dgn kemunafikan AS n ,itu mah propaganda iran buat  warga irgciran mah sudah babak belur beranii nya lawan warga sipil iran yg sdh dibantai sebanyak   ribu rezim bengis khamenei sdh membantai islam suni di suriah  ribu blm lagi di lebanonyamansaya  muslim yg pro rakyat bukan as israel apa lagi rezim bengis khamenei pembataian islam suni suriah belum pernah ditampilkan  dimedia indonesia termasuk kompas yg sy kagumi dari dulu tp skarang sdh  letoy  hidup rakyat iran semoga allah swt melindungi kalian smua dixaman penuh dgn kemunafikan as n ,itu mah propaganda iran buat warga irgciran mah sudah babak belur beranii ya lawan warga sipil iran yang sudah dibantai sebanyak ribu rezim bengis khamenei sudah membantai islam suni di suriah ribu belum lagi di lebanonyamansaya muslim yang pro rakyat bukan as israel apa lagi rezim bengis khamenei pembataian islam suni suriah belum pernah ditampilkan dimedia indonesia termasuk kompas yang saya kagumi dari dulu tapi sekarang sudah letoy hidup rakyat iran semoga allah swt melindungi kalian semua dixaman penuh dengan kemunafikan as n,"['itu', 'mah', 'propaganda', 'iran', 'buat', 'warga', 'irgciran', 'mah', 'sudah', 'babak', 'belur', 'beranii', 'ya', 'lawan', 'warga', 'sipil', 'iran', 'yang', 'sudah', 'dibantai', 'sebanyak', 'ribu', 'rezim', 'bengis', 'khamenei', 'sudah', 'membantai', 'islam', 'suni', 'di', 'suriah', 'ribu', 'belum', 'lagi', 'di', 'lebanonyamansaya', 'muslim', 'yang', 'pro', 'rakyat', 'bukan', 'as', 'israel', 'apa', 'lagi', 'rezim', 'bengis', 'khamenei', 'pembataian', 'islam', 'suni', 'suriah', 'belum', 'pernah', 'ditampilkan', 'dimedia', 'indonesia', 'termasuk', 'kompas', 'yang', 'saya', 'kagumi', 'dari', 'dulu', 'tapi', 'sekarang', 'sudah', 'letoy', 'hidup', 'rakyat', 'iran', 'semoga', 'allah', 'swt', 'melindungi', 'kalian', 'semua', 'dixaman', 'penuh', 'dengan', 'kemunafikan', 'as', 'n']",mah propaganda iran warga irgciran mah babak belur beranii lawan warga sipil iran dibantai ribu rezim bengis khamenei membantai islam suni suriah ribu lebanonyamansaya muslim pro rakyat amerika serikat israel rezim bengis khamenei pembataian islam suni suriah ditampilkan dimedia indonesia kompas kagumi letoy hidup rakyat iran semoga allah swt melindungi dixaman penuh kemunafikan amerika serikat n
Di tangan Trum kehancuran Amerika didepan mata,Di tangan Trum kehancuran Amerika didepan mata,di tangan trum kehancuran amerika didepan mata,di tangan trum kehancuran amerika didepan mata,"['di', 'tangan', 'trum', 'kehancuran', 'amerika', 'didepan', 'mata']",tangan trump kehancuran amerika didepan mata
Sampai kpannn...biar sama2 rugi,Sampai kpannnbiar sama rugi,sampai kpannnbiar sama rugi,sampai kpannnbiar sama rugi,"['sampai', 'kpannnbiar', 'sama', 'rugi']",kpannnbiar rugi
Teoritis kapal bergerak lambat walau dilimdungi meriam.Phalanx,Teoritis kapal bergerak lambat walau dilimdungi meriamPhalanx,teoritis kapal bergerak lambat walau dilimdungi meriamphalanx,teoritis kapal bergerak lambat walau dilimdungi meriamphalanx,"['teoritis', 'kapal', 'bergerak', 'lambat', 'walau', 'dilimdungi', 'meriamphalanx']",teoritis kapal bergerak lambat dilimdungi meriamphalanx
Gila kali as😂,Gila kali as,gila kali as,gila kali as,"['gila', 'kali', 'as']",gila kali amerika serikat
Trump presiden Arogan yg memuakan dan pemicu keributan Dunia Internasional,Trump presiden Arogan yg memuakan dan pemicu keributan Dunia Internasional,trump presiden arogan yg memuakan dan pemicu keributan dunia internasional,trump presiden arogan yang memuakan dan pemicu keributan dunia internasional,"['trump', 'presiden', 'arogan', 'yang', 'memuakan', 'dan', 'pemicu', 'keributan', 'dunia', 'internasional']",trump presiden arogan memuakan pemicu keributan dunia internasional
Allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,Allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,allohumma parriq jamahum wa aqlil adadahum waqosri umurohum,"['allohumma', 'parriq', 'jamahum', 'wa', 'aqlil', 'adadahum', 'waqosri', 'umurohum']",allohumma parriq jamahum wa aqlil adadahum waqosri umurohum
Amerika itu cemburu banget kalau Iran berdiri di kaki sendiri sipatnya or kafir tak bisa dipungkiri mulai dari jaman dulu kok,Amerika itu cemburu banget kalau Iran berdiri di kaki sendiri sipatnya or kafir tak bisa dipungkiri mulai dari jaman dulu kok,amerika itu cemburu banget kalau iran berdiri di kaki sendiri sipatnya or kafir tak bisa dipungkiri mulai dari jaman dulu kok,amerika itu cemburu banget kalau iran berdiri di kaki sendiri sipatnya orang kafir tak bisa dipungkiri mulai dari jaman dulu kok,"['amerika', 'itu', 'cemburu', 'banget', 'kalau', 'iran', 'berdiri', 'di', 'kaki', 'sendiri', 'sipatnya', 'orang', 'kafir', 'tak', 'bisa', 'dipungkiri', 'mulai', 'dari', 'jaman', 'dulu', 'kok']",amerika cemburu banget iran berdiri kaki sipatnya kafir dipungkiri jaman
Trump pemimpin yg gaya bicara nya  dg mulut penuh kotoran taik.,Trump pemimpin yg gaya bicara nya  dg mulut penuh kotoran taik,trump pemimpin yg gaya bicara nya  dg mulut penuh kotoran taik,trump pemimpin yang gaya bicara ya dengan mulut penuh kotoran tahi,"['trump', 'pemimpin', 'yang', 'gaya', 'bicara', 'ya', 'dengan', 'mulut', 'penuh', 'kotoran', 'tahi']",trump pemimpin gaya bicara mulut penuh kotoran tahi
Kompas beritanya hoax semua 🤣🤣🤣,Kompas beritanya hoax semua ,kompas beritanya hoax semua ,kompas beritanya hoax semua,"['kompas', 'beritanya', 'hoax', 'semua']",kompas beritanya hoax
Tembak saja kapal perang America,Tembak saja kapal perang America,tembak saja kapal perang america,tembak saja kapal perang america,"['tembak', 'saja', 'kapal', 'perang', 'america']",tembak kapal perang amerika
"Waduhhhh...Kompas Tv , kalau cari pengamat...yg agak  pantes dikit,   masa pengamat Husen Gaza di pakai....",WaduhhhhKompas Tv  kalau cari pengamatyg agak  pantes dikit   masa pengamat Husen Gaza di pakai,waduhhhhkompas tv  kalau cari pengamatyg agak  pantes dikit   masa pengamat husen gaza di pakai,waduhhhhkompas tv kalau cari pengamatyg agak pantas dikit masa pengamat husen gaza di pakai,"['waduhhhhkompas', 'tv', 'kalau', 'cari', 'pengamatyg', 'agak', 'pantas', 'dikit', 'masa', 'pengamat', 'husen', 'gaza', 'di', 'pakai']",waduhhhhkompas tv cari pengamatyg dikit pengamat husen gaza pakai
"kalian bodohin orang itu hoax,kenapa ngak tembak aja ,sekarang masih di Hormuz....maz bro kapal USA masih disana  cobak cek ...Kompas Tv  menipu berita...parah2",kalian bodohin orang itu hoaxkenapa ngak tembak aja sekarang masih di Hormuzmaz bro kapal USA masih disana  cobak cek Kompas Tv  menipu beritaparah,kalian bodohin orang itu hoaxkenapa ngak tembak aja sekarang masih di hormuzmaz bro kapal usa masih disana  cobak cek kompas tv  menipu beritaparah,kalian bodohin orang itu hoaxkenapa tidak tembak saja sekarang masih di hormuzmaz bro kapal usah masih disana coba cek kompas tv menipu beritaparah,"['kalian', 'bodohin', 'orang', 'itu', 'hoaxkenapa', 'tidak', 'tembak', 'saja', 'sekarang', 'masih', 'di', 'hormuzmaz', 'bro', 'kapal', 'usah', 'masih', 'disana', 'coba', 'cek', 'kompas', 'tv', 'menipu', 'beritaparah']",bodohin hoaxkenapa tembak hormuzmaz kapal disana coba cek kompas tv menipu beritaparah
"Donald duck trump is a real Psychopath and terrorist...
Hi trump Straith Hormuz is belong to Iran not your country 😂😂😂😂😂😂😂😂😂😂😂😂😂😂","Donald duck trump is a real Psychopath and terrorist
Hi trump Straith Hormuz is belong to Iran not your country ","donald duck trump is a real psychopath and terrorist
hi trump straith hormuz is belong to iran not your country ",donald duck trump is a real psychopath and terrorist hi trump straith hormuz is belong tapi iran not your country,"['donald', 'duck', 'trump', 'is', 'a', 'real', 'psychopath', 'and', 'terrorist', 'hi', 'trump', 'straith', 'hormuz', 'is', 'belong', 'tapi', 'iran', 'not', 'your', 'country']",donald duck trump is a real psychopath and terrorist hi trump straith hormuz is belong iran your country
Amerika kocak,Amerika kocak,amerika kocak,amerika kocak,"['amerika', 'kocak']",amerika kocak
Usin ajh Iran kapal as lawan jangan takut beravo Iran aku dukung Iran ❤❤❤❤❤,Usin ajh Iran kapal as lawan jangan takut beravo Iran aku dukung Iran ,usin ajh iran kapal as lawan jangan takut beravo iran aku dukung iran ,usin saja iran kapal as lawan jangan takut beravo iran aku dukung iran,"['usin', 'saja', 'iran', 'kapal', 'as', 'lawan', 'jangan', 'takut', 'beravo', 'iran', 'aku', 'dukung', 'iran']",usin iran kapal amerika serikat lawan takut beravo iran dukung iran
Habisi aja kapal2 As yang lewat bravo iran❤,Habisi aja kapal As yang lewat bravo iran,habisi aja kapal as yang lewat bravo iran,habisi saja kapal as yang lewat bravo iran,"['habisi', 'saja', 'kapal', 'as', 'yang', 'lewat', 'bravo', 'iran']",habisi kapal amerika serikat bravo iran
Bikin bnyk mati marinir As yg emang bkerja demi gaji gede.. Sperti nya trump sabodoteing,Bikin bnyk mati marinir As yg emang bkerja demi gaji gede Sperti nya trump sabodoteing,bikin bnyk mati marinir as yg emang bkerja demi gaji gede sperti nya trump sabodoteing,bikin banyak mati marinir as yang memang bkerja demi gaji gede seperti ya trump sabodoteing,"['bikin', 'banyak', 'mati', 'marinir', 'as', 'yang', 'memang', 'bkerja', 'demi', 'gaji', 'gede', 'seperti', 'ya', 'trump', 'sabodoteing']",bikin mati marinir amerika serikat bkerja gaji gede trump sabodoteing
Donal lah penjahat yg sebenar nya apapun dalih nya. . .dialah yg harus musnah.,Donal lah penjahat yg sebenar nya apapun dalih nya  dialah yg harus musnah,donal lah penjahat yg sebenar nya apapun dalih nya  dialah yg harus musnah,donal lah penjahat yang sebenar ya apapun dalih ya dialah yang harus musnah,"['donal', 'lah', 'penjahat', 'yang', 'sebenar', 'ya', 'apapun', 'dalih', 'ya', 'dialah', 'yang', 'harus', 'musnah']",donald penjahat sebenar apapun dalih musnah
Semoga bangsa setan musnah dari dunia ini.....,Semoga bangsa setan musnah dari dunia ini,semoga bangsa setan musnah dari dunia ini,semoga bangsa setan musnah dari dunia ini,"['semoga', 'bangsa', 'setan', 'musnah', 'dari', 'dunia', 'ini']",semoga bangsa setan musnah dunia
Genjatan senjata alasan Amerika utk mempersiapkan serangan selanjutnya,Genjatan senjata alasan Amerika utk mempersiapkan serangan selanjutnya,genjatan senjata alasan amerika utk mempersiapkan serangan selanjutnya,genjatan senjata alasan amerika untuk mempersiapkan serangan selanjutnya,"['genjatan', 'senjata', 'alasan', 'amerika', 'untuk', 'mempersiapkan', 'serangan', 'selanjutnya']",genjatan senjata alasan amerika serangan
Trum stres blokade senin? Sekarang selasa hoax semua omongan nya,Trum stres blokade senin Sekarang selasa hoax semua omongan nya,trum stres blokade senin sekarang selasa hoax semua omongan nya,trum stres blokade senin sekarang selasa hoax semua omongan ya,"['trum', 'stres', 'blokade', 'senin', 'sekarang', 'selasa', 'hoax', 'semua', 'omongan', 'ya']",trump stres blokade senin selasa hoax omongan
"Gmn banggax orang iran yak 😊,",Gmn banggax orang iran yak ,gmn banggax orang iran yak ,bagaimana banggax orang iran ya,"['bagaimana', 'banggax', 'orang', 'iran', 'ya']",banggax iran
"Kenapa di usir,kan tinggal pencet 😂",Kenapa di usirkan tinggal pencet ,kenapa di usirkan tinggal pencet ,kenapa di usirkan tinggal pencet,"['kenapa', 'di', 'usirkan', 'tinggal', 'pencet']",usirkan tinggal pencet
Tinggal tekan tombol saja habis dah 😂😂😂😂😂,Tinggal tekan tombol saja habis dah ,tinggal tekan tombol saja habis dah ,tinggal tekan tombol saja habis sudah,"['tinggal', 'tekan', 'tombol', 'saja', 'habis', 'sudah']",tinggal tekan tombol habis
"ahhhh... bullshit lah kalian ber dua...kek taik... kalau mau perang lekaslah perang lalu selesai, jgn nyusahain manusia sedunia...",ahhhh bullshit lah kalian ber duakek taik kalau mau perang lekaslah perang lalu selesai jgn nyusahain manusia sedunia,ahhhh bullshit lah kalian ber duakek taik kalau mau perang lekaslah perang lalu selesai jgn nyusahain manusia sedunia,ah bullshit lah kalian ber duakek tahi kalau mau perang lekaslah perang lalu selesai jangan nyusahain manusia sedunia,"['ah', 'bullshit', 'lah', 'kalian', 'ber', 'duakek', 'tahi', 'kalau', 'mau', 'perang', 'lekaslah', 'perang', 'lalu', 'selesai', 'jangan', 'nyusahain', 'manusia', 'sedunia']",ah bullshit ber duakek tahi perang lekaslah perang selesai nyusahain manusia sedunia
Saya gak dukung 2 negara ini. Tapi mengingatkan.. sampai kapanpun amerika itu bukan lawanmu. Kecuali dunia sudah kiamat.,Saya gak dukung  negara ini Tapi mengingatkan sampai kapanpun amerika itu bukan lawanmu Kecuali dunia sudah kiamat,saya gak dukung  negara ini tapi mengingatkan sampai kapanpun amerika itu bukan lawanmu kecuali dunia sudah kiamat,saya tidak dukung negara ini tapi mengingatkan sampai kapanpun amerika itu bukan lawanmu kecuali dunia sudah kiamat,"['saya', 'tidak', 'dukung', 'negara', 'ini', 'tapi', 'mengingatkan', 'sampai', 'kapanpun', 'amerika', 'itu', 'bukan', 'lawanmu', 'kecuali', 'dunia', 'sudah', 'kiamat']",dukung negara amerika lawanmu kecuali dunia kiamat
Mana bisa Iran menang cuma tinggal speedboat doank..melawan armada kapal industry lengkap... haluu banget berita kompas..,Mana bisa Iran menang cuma tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas,mana bisa iran menang cuma tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas,mana bisa iran menang cuma tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas,"['mana', 'bisa', 'iran', 'menang', 'cuma', 'tinggal', 'speedboat', 'doankmelawan', 'armada', 'kapal', 'industry', 'lengkap', 'haluu', 'banget', 'berita', 'kompas']",iran menang tinggal speedboat doankmelawan armada kapal industry lengkap haluu banget berita kompas
Kalain aas istael tidak akann mampu saya yakin kalain akan malu,Kalain aas istael tidak akann mampu saya yakin kalain akan malu,kalain aas istael tidak akann mampu saya yakin kalain akan malu,kalain aas istael tidak akann mampu saya yakin kalain akan malu,"['kalain', 'aas', 'istael', 'tidak', 'akann', 'mampu', 'saya', 'yakin', 'kalain', 'akan', 'malu']",kalain aas istael akann kalain malu
Terlihat jelas Amerika menganut ideologi penjajah,Terlihat jelas Amerika menganut ideologi penjajah,terlihat jelas amerika menganut ideologi penjajah,terlihat jelas amerika menganut ideologi penjajah,"['terlihat', 'jelas', 'amerika', 'menganut', 'ideologi', 'penjajah']",amerika menganut ideologi penjajah
"Iran luar biasa,
Pantang menyerah walaupun yg di lawan Negara superpower mamarike & negara perusuh isriwil (1 vs 2)

Dari sini qt belajar,
JGN Pernah Mundur ketika diperlakukan Dzalim
Walaupun lawan qta Monster besar,
Berjuang hingga tetes darah terakhir.

biarin mamarike tau,
Iran aja Ga mudah di Lawan,
Apalagi Cina & Rusia,
Sekarang jaman sudah beda,
Sudah bukan jaman sekutu sekutuAn para pengecut.","Iran luar biasa
Pantang menyerah walaupun yg di lawan Negara superpower mamarike  negara perusuh isriwil  vs 

Dari sini qt belajar
JGN Pernah Mundur ketika diperlakukan Dzalim
Walaupun lawan qta Monster besar
Berjuang hingga tetes darah terakhir

biarin mamarike tau
Iran aja Ga mudah di Lawan
Apalagi Cina  Rusia
Sekarang jaman sudah beda
Sudah bukan jaman sekutu sekutuAn para pengecut","iran luar biasa
pantang menyerah walaupun yg di lawan negara superpower mamarike  negara perusuh isriwil  vs 

dari sini qt belajar
jgn pernah mundur ketika diperlakukan dzalim
walaupun lawan qta monster besar
berjuang hingga tetes darah terakhir

biarin mamarike tau
iran aja ga mudah di lawan
apalagi cina  rusia
sekarang jaman sudah beda
sudah bukan jaman sekutu sekutuan para pengecut",iran luar biasa pantang menyerah walaupun yang di lawan negara superpower mamarike negara perusuh isriwil vs dari sini kita belajar jangan pernah mundur ketika diperlakukan dzalim walaupun lawan kita monster besar berjuang hingga tetes darah terakhir biarkan mamarike tau iran saja tidak mudah di lawan apalagi cina rusia sekarang jaman sudah beda sudah bukan jaman sekutu sekutuan para pengecut,"['iran', 'luar', 'biasa', 'pantang', 'menyerah', 'walaupun', 'yang', 'di', 'lawan', 'negara', 'superpower', 'mamarike', 'negara', 'perusuh', 'isriwil', 'vs', 'dari', 'sini', 'kita', 'belajar', 'jangan', 'pernah', 'mundur', 'ketika', 'diperlakukan', 'dzalim', 'walaupun', 'lawan', 'kita', 'monster', 'besar', 'berjuang', 'hingga', 'tetes', 'darah', 'terakhir', 'biarkan', 'mamarike', 'tau', 'iran', 'saja', 'tidak', 'mudah', 'di', 'lawan', 'apalagi', 'cina', 'rusia', 'sekarang', 'jaman', 'sudah', 'beda', 'sudah', 'bukan', 'jaman', 'sekutu', 'sekutuan', 'para', 'pengecut']",iran pantang menyerah lawan negara superpower mamarike negara perusuh isriwil vs belajar mundur diperlakukan dzalim lawan monster berjuang tetes darah biarkan mamarike iran mudah lawan cina rusia jaman beda jaman sekutu sekutuan pengecut
